PSG Operasyon Müdürl,PSG Operasyn mrkzi 2,Tesisat,Sipariş,ENLEM,BOYLAM,Toplam kwh ,mahalle adı,ILCE_ADI,NİTELİKLİ /NİTELİKSİZ DURUMU,Şirket Adı,Bölge Müdürlüğü,Ters Kayıt Tarihi,Oluşturma Tarihi,Tutanak Tarihi,Rapor Tarihi,Kaçak Tüketim Miktarı (kWh),Ek Tahakkuk Miktarı (kWh)
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005472607,688197033,             40.8808638320444,             29.2299240304419,"2,224",YENİ,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/30/2024,1/30/2024,1/30/2024,2224.44,0
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005501770,688196951,             40.8885828426428,             29.2775134656114,"1,764",KAVAKPINAR,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/29/2024,1/29/2024,1/29/2024,1764,0
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005544123,687756960,             40.8744104651653,             29.2554716924142,"24,561",KAYNARCA,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/17/2024,1/16/2024,1/17/2024,13576.32,10984.32
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005561817,687801262,             40.8716757684335,             29.2603624147626,"9,018",KAYNARCA,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/8/2024,1/6/2024,1/8/2024,676.35,8341.65
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005574198,688076539,             40.8975986937289,             29.2685503622180,"2,104",GÜLLÜ BAĞLAR,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/18/2024,1/18/2024,1/18/2024,2104.2,0
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005574198,689021589,             40.8975986937289,             29.2685503622180,"1,443",GÜLLÜ BAĞLAR,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/6/2024,3/6/2024,3/6/2024,1442.88,0
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005574198,689151577,             40.8975986937289,             29.2685503622180,240,GÜLLÜ BAĞLAR,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/15/2024,3/14/2024,3/15/2024,240.48,0
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005574198,690098312,             40.8975986937289,             29.2685503622180,"1,834",GÜLLÜ BAĞLAR,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/14/2024,5/14/2024,5/14/2024,1833.66,0
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005574198,690472355,             40.8975986937289,             29.2685503622180,601,GÜLLÜ BAĞLAR,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,6/3/2024,6/3/2024,6/3/2024,601.2,0
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005574198,690773585,             40.8975986937289,             29.2685503622180,752,GÜLLÜ BAĞLAR,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,6/28/2024,6/28/2024,6/28/2024,751.5,0
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005591927,688197073,             40.8750477258588,             29.2572242280299,"1,980",KAYNARCA,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/22/2024,1/20/2024,1/22/2024,270,1710
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005594014,688285627,             40.8881494798520,             29.2258663846951,"8,719",YENİ,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/24/2024,1/23/2024,1/24/2024,216.45,8502.55
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005597813,688196842,             40.8797968403130,             29.2331824487249,"2,129",DOĞU,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,2/13/2024,2/13/2024,2/13/2024,125.25,2004
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005669627,687981165,             40.8716779611335,             29.2603593545698,"5,400",KAYNARCA,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/8/2024,1/6/2024,1/8/2024,405,4995
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005691540,690121930,             40.8762304900956,             29.2752298357773,"2,806",ÇAMÇEŞME,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/13/2024,5/13/2024,5/13/2024,375.75,2429.85
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005693854,688285629,             40.8881524926185,             29.2258760593419,"6,670",YENİ,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/25/2024,1/23/2024,1/25/2024,171.45,6498.75
MARMARA DAĞ. OP. MÜD.,PENDİK O.M.,4005700791,689376625,             40.8857487162730,             29.2241997819918,"4,358",SAPAN BAĞLARI,PENDİK,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/25/2024,3/25/2024,3/25/2024,207.681,4150.082
